,Kidhome,Teenhome,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,2n Cycle,Basic,Graduation,Master,PhD,Divorced,Married,Single,Together,Widow,Year_Birth,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6213592233009742,0.08483222445468436,0.5858585858585859,0.4253181513730743,0.44221105527638194,0.3165217391304348,0.6640926640926641,0.33587786259541985,0.27414330218068533,0.2,0.2962962962962963,0.3571428571428571,0.3076923076923077,0.35000000000000003
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5922330097087389,0.06709517908490441,0.38383838383838387,0.007367716008037508,0.005025125628140704,0.003478260869565217,0.007722007722007722,0.003816793893129771,0.018691588785046728,0.13333333333333333,0.037037037037037035,0.03571428571428571,0.15384615384615385,0.25
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6990291262135955,0.10509733267562592,0.26262626262626265,0.2853315472203617,0.24623115577889448,0.0736231884057971,0.4285714285714286,0.08015267175572519,0.1308411214953271,0.06666666666666667,0.2962962962962963,0.07142857142857142,0.7692307692307693,0.2
3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.8834951456310698,0.03747127543101893,0.26262626262626265,0.007367716008037508,0.020100502512562814,0.011594202898550725,0.03861003861003861,0.011450381679389313,0.01557632398753894,0.13333333333333333,0.07407407407407407,0.0,0.3076923076923077,0.30000000000000004
4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.8543689320388381,0.08506532959563025,0.9494949494949496,0.115874079035499,0.21608040201005024,0.06840579710144927,0.1776061776061776,0.10305343511450381,0.04672897196261682,0.3333333333333333,0.18518518518518517,0.10714285714285714,0.46153846153846156,0.25
5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.7184466019417499,0.09141180504589916,0.16161616161616163,0.348292029470864,0.21105527638190955,0.05681159420289855,0.0,0.16030534351145037,0.04361370716510903,0.13333333333333333,0.2222222222222222,0.14285714285714285,0.7692307692307693,0.30000000000000004
6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.7572815533980588,0.08106795240444194,0.3434343434343435,0.15740120562625587,0.32663316582914576,0.09507246376811594,0.19305019305019305,0.18702290076335878,0.08411214953271028,0.26666666666666666,0.25925925925925924,0.10714285714285714,0.5384615384615385,0.30000000000000004
7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.893203883495147,0.04770985478301671,0.32323232323232326,0.050904219691895514,0.05025125628140704,0.03246376811594203,0.011583011583011584,0.003816793893129771,0.07165109034267912,0.13333333333333333,0.14814814814814814,0.0,0.3076923076923077,0.4
8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.786407766990294,0.0430432402516934,0.19191919191919193,0.009377093101138647,0.0,0.013913043478260868,0.011583011583011584,0.011450381679389313,0.006230529595015576,0.06666666666666667,0.1111111111111111,0.0,0.15384615384615385,0.45
9,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.55339805825243,0.005892296401458184,0.686868686868687,0.018754186202277295,0.0,0.003478260869565217,0.003861003861003861,0.003816793893129771,0.040498442367601244,0.06666666666666667,0.037037037037037035,0.0,0.0,1.0
